"movie_name","movie_url","movie_opening","movie_weekend","movie_firstweek","movie_total","movie_total_worldwide","movie_genre","movie_movierelease","movie_director","movie_director_url","movie_banner","movie_producer","movie_stars","movie_details"
"Baazaar","https://www.bollywoodmdb.com/movies/baazaar/16309",": 3.07 cr",": 11.93 cr",": 18.05 cr",": 28.02 cr",": ---","Crime, Drama","26 October, 2018 | 2 hrs 20 mins","Gauravv K Chawla","https://www.bollywoodmdb.com/celebrities/gauravv-k-chawla/34996","Banner : Emmay Entertainment Pvt. Ltd","Producer : Dheeraj Wadhawan , Ajay Kapoor, Monisha Advani","Star : Saif Ali Khan , Rohan Mehra, Chitrangada Singh",""
"Badhaai Ho","https://www.bollywoodmdb.com/movies/badhaai-ho/16414",": 7.35 cr",": 45.70 cr",": 66.10 cr",": 136.80 cr",": 180 cr","Comedy","18 October, 2018 | 2 hrs 6 mins","Amit Ravindernath Sharma","https://www.bollywoodmdb.com/celebrities/amit-ravindernath-sharma/33022","Banner : Chrome Pictures, Junglee Pictures","Producer : Vineet Jain , Aleya Sen, Hemant Bhandari","Star : Ayushman Khurana , Sanya Malhotra, Neena Gupta","A man faces embarrassment in the society when he finds out his mother is pregnant"
"Tumbbad","https://www.bollywoodmdb.com/movies/tumbbad/16494",": 0.65 cr",": 3.25 cr",": 5.85 cr",": 13.48 cr",": 8.09 cr","Horror, Thriller","12 October, 2018 | 1 hrs 53 mins","Rahi Anil Barve","https://www.bollywoodmdb.com/celebrities/rahi-anil-barve/36168","Banner : Eros International, Colour Yellow Productions Pvt Ltd","Producer : Sohum Shah , Aanand L Rai, Mukesh Shah","Star : Sohum Shah , Jyoti Malshe, Dhundhiraj Prabhakar Jogalekar","A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born."
"AndhaDhun","https://www.bollywoodmdb.com/movies/mud-mud-ke-na-dekh/16351",": 2.70 cr",": 15 cr",": 27.65 cr",": 41.90 cr",": 71.74 cr","Thriller, Suspense, Crime","05 October, 2018 | 2 hrs 20 mins","Sriram Raghavan","https://www.bollywoodmdb.com/celebrities/sriram-raghavan/5021","Banner : Viacom18 Motion Pictures, Matchbox Pictures","Star : Ayushman Khurana , Radhika Apte, Tabu","He sees what he shouldn't. She sees what he couldn't. So the question is, does he see it or not?",""
"Sui Dhaaga: Made In India","https://www.bollywoodmdb.com/movies/sui-dhaaga-made-in-india/16359",": 8.30 cr",": 36.60 cr",": 62.50 cr",": 79.02 cr",": 100 cr","Drama, Social","28 September, 2018 | 2 hrs 2 mins","Sharat Katariya","https://www.bollywoodmdb.com/celebrities/sharat-katariya/28511","Banner : Yash Raj Films","Producer : Maneesh Sharma","Star : Varun Dhawan , Anushka Sharma, Raghubir Yadav","A heart-warming story of pride and self-reliance, rooted in the heart of India."
"Pataakha","https://www.bollywoodmdb.com/movies/chhuriyaan/16462",": 0.90 cr",": 4.05 cr",": 7.64 cr",": 7.64 cr",": ---","Drama","28 September, 2018 | 2 hrs 16 mins","Vishal Bhardwaj","https://www.bollywoodmdb.com/celebrities/vishal-bhardwaj/23359","Banner : Kyta Productions, B4U Motion Pictures, Vishal Bhardwaj Pictures Pvt Ltd","Producer : Dheeraj Wadhawan , Ajay Kapoor, Ishan Saksena","Star : Sanya Malhotra , Radhika Madan, Sunil Grover","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage separates them."
"Batti Gul Meter Chalu","https://www.bollywoodmdb.com/movies/batti-gul-meter-chalu/16404",": 6.76 cr",": 23.26 cr",": 34.43 cr",": 37.26 cr",": 44.63 cr","Drama","21 September, 2018 | 2 hrs 43 mins","Shree Narayan Singh","https://www.bollywoodmdb.com/celebrities/shree-narayan-singh/11836","Banner : T-Series Super Cassettes Industries Ltd., Krti Pictures","Producer : Bhushan Kumar , Krishan Kumar, Nitin Chandrachud","Star : Shahid Kapoor , Shraddha Kapoor, Yami Gautam","The life of three friends takes a tragic turn due to an inflated electricity bill, which leads to a courtroom drama and social awakening."
"Manmarziyaan","https://www.bollywoodmdb.com/movies/manmarziyaan/16130",": 3.52 cr",": 14.33 cr",": 21.40 cr",": 26.45 cr",": 39.93 cr","Drama, Romance","14 September, 2018 | 2 hrs 37 mins","Anurag Kashyap","https://www.bollywoodmdb.com/celebrities/anurag-kashyap/4210","Banner : Colour Yellow Productions Pvt Ltd, Phantom Productions, Eros International","Producer : Aanand L Rai , Vikas Bahl, Vikramaditya Motwane","Star : Abhishek Bachchan , Taapsee Pannu, Vicky Kaushal","A love triangle between a spirited young woman, her outgoing boyfriend and a fiance who's husband material."
"Yamla Pagla Deewana Phir Se","https://www.bollywoodmdb.com/movies/yamla-pagla-deewana-phir-se/16376",": 1.82 cr",": 6.32 cr",": 9.42 cr",": 9.42 cr",": 14.70 cr","Comedy","31 August, 2018 | 2 hrs 28 mins","Bobby Deol","https://www.bollywoodmdb.com/celebrities/bobby-deol/11","Director : Navaniat Singh","","",""
"Stree","https://www.bollywoodmdb.com/movies/stree/16433",": 6.83 cr",": 32.27 cr",": 60.39 cr",": 129.67 cr",": 150.18 cr","Comedy, Horror","31 August, 2018 | 2 hrs 10 mins","Amar Kaushik","https://www.bollywoodmdb.com/celebrities/amar-kaushik/25266","Banner : Maddock Films","Producer : Dinesh Vijan , Raj Nidimoru, Krishna D.K.","Star : Rajkummar Rao , Shraddha Kapoor, Aparshakti Khurrana","Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles."
